"No.","Delta-time","Time","Source","Destination","Protocol","Length","Info"
"4420","0.000000000","12.784410500","185.199.110.133","192.168.1.2","TLSv1.3","458","Application Data"
"4421","0.000182400","12.784592900","185.199.110.133","192.168.1.2","TLSv1.3","1506","Application Data"
"4422","0.000000000","12.784592900","185.199.110.133","192.168.1.2","TLSv1.3","218","Application Data"
"4423","0.000042500","12.784635400","192.168.1.2","185.199.110.133","TCP","54","52086  >  443 [ACK] Seq=2568 Ack=6937 Win=65280 Len=0"
"4424","0.000185000","12.784820400","192.168.1.2","8.8.4.4","QUIC","77","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"4425","0.000111900","12.784932300","192.168.1.2","8.8.4.4","QUIC","77","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"4426","0.001011600","12.785943900","192.168.1.2","140.82.114.21","TCP","66","64090  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"4427","0.006994100","12.792938000","192.168.1.2","185.199.110.154","TLSv1.3","132","Application Data"
"4428","0.000162500","12.793100500","192.168.1.2","20.207.73.82","TLSv1.2","616","Application Data"
"4429","0.000759300","12.793859800","192.168.1.2","185.199.110.154","TLSv1.3","131","Application Data"
"4430","0.016302200","12.810162000","192.168.1.2","8.8.4.4","QUIC","74","Protected Payload (KP0), DCID=f62cfd3432af60c7"
"4431","0.000913700","12.811075700","192.168.1.2","20.207.73.82","TLSv1.2","339","Application Data"
"4432","0.000100500","12.811176200","192.168.1.2","20.207.73.82","TLSv1.2","162","Application Data"
"4433","0.000635500","12.811811700","192.168.1.2","20.207.73.82","TLSv1.2","182","Application Data"
"4434","0.000699600","12.812511300","192.168.1.2","20.207.73.82","TLSv1.2","181","Application Data"
"4435","0.000069400","12.812580700","192.168.1.2","20.207.73.82","TLSv1.2","171","Application Data"
"4436","0.001848700","12.814429400","20.207.73.82","192.168.1.2","TLSv1.2","937","[TCP Previous segment not captured] , Ignored Unknown Record"
"4437","0.000000000","12.814429400","20.207.73.82","192.168.1.2","TLSv1.2","1490","[TCP Out-Of-Order] , Ignored Unknown Record"
"4438","0.000086400","12.814515800","192.168.1.2","20.207.73.82","TCP","66","[TCP Dup ACK 4412#1] 49670  >  443 [ACK] Seq=5393 Ack=112339 Win=130816 Len=0 SLE=113775 SRE=114658"
"4439","0.000077300","12.814593100","192.168.1.2","20.207.73.82","TCP","54","49670  >  443 [ACK] Seq=5393 Ack=114658 Win=130816 Len=0"
"4440","0.000767300","12.815360400","192.168.1.2","185.199.110.154","TLSv1.3","132","Application Data"
"4441","0.001626300","12.816986700","192.168.1.2","185.199.110.154","TLSv1.3","138","Application Data"
"4442","0.000734600","12.817721300","192.168.1.2","185.199.110.154","TLSv1.3","138","Application Data"
"4443","0.000097700","12.817819000","192.168.1.2","185.199.110.154","TLSv1.3","136","Application Data"
"4444","0.026660700","12.844479700","8.8.4.4","192.168.1.2","QUIC","65","Protected Payload (KP0)"
"4445","0.000000000","12.844479700","185.199.110.154","192.168.1.2","TCP","54","443  >  52263 [ACK] Seq=2507391 Ack=14769 Win=177664 Len=0"
"4446","0.010535100","12.855014800","185.199.110.154","192.168.1.2","TCP","54","443  >  52263 [ACK] Seq=2507391 Ack=14846 Win=177664 Len=0"
"4447","0.000000000","12.855014800","185.199.110.154","192.168.1.2","TCP","1506","443  >  52263 [ACK] Seq=2507391 Ack=14846 Win=177664 Len=1452 [TCP PDU reassembled in 4450]"
"4448","0.000000000","12.855014800","185.199.110.154","192.168.1.2","TCP","1506","[TCP Previous segment not captured] 443  >  52263 [ACK] Seq=2510295 Ack=14846 Win=177664 Len=1452 [TCP PDU reassembled in 4450]"
"4449","0.000000000","12.855014800","185.199.110.154","192.168.1.2","TCP","1506","[TCP Out-Of-Order] 443  >  52263 [ACK] Seq=2508843 Ack=14846 Win=177664 Len=1452 [TCP PDU reassembled in 4450]"
"4450","0.000000000","12.855014800","185.199.110.154","192.168.1.2","TLSv1.3","761","Application Data"
"4451","0.000000000","12.855014800","185.199.110.154","192.168.1.2","TCP","1506","[TCP Previous segment not captured] 443  >  52263 [ACK] Seq=2513906 Ack=14846 Win=177664 Len=1452"
"4452","0.000000000","12.855014800","185.199.110.154","192.168.1.2","TCP","763","443  >  52263 [PSH, ACK] Seq=2515358 Ack=14846 Win=177664 Len=709"
"4453","0.000000000","12.855014800","185.199.110.154","192.168.1.2","TCP","1506","[TCP Out-Of-Order] 443  >  52263 [ACK] Seq=2512454 Ack=14846 Win=177664 Len=1452"
"4454","0.000000000","12.855014800","20.207.73.82","192.168.1.2","TCP","54","443  >  49670 [ACK] Seq=114658 Ack=5021 Win=83968 Len=0"
"4455","0.000000000","12.855014800","185.199.110.154","192.168.1.2","TCP","54","443  >  52263 [ACK] Seq=2516067 Ack=14924 Win=177664 Len=0"
"4456","0.000137500","12.855152300","192.168.1.2","185.199.110.154","TCP","66","52263  >  443 [ACK] Seq=15174 Ack=2508843 Win=2096896 Len=0 SLE=2510295 SRE=2511747"
"4457","0.000082700","12.855235000","192.168.1.2","185.199.110.154","TCP","54","52263  >  443 [ACK] Seq=15174 Ack=2511747 Win=2096896 Len=0"
"4458","0.000080900","12.855315900","192.168.1.2","185.199.110.154","TCP","66","52263  >  443 [ACK] Seq=15174 Ack=2512454 Win=2096384 Len=0 SLE=2513906 SRE=2515358"
"4459","0.000039400","12.855355300","192.168.1.2","185.199.110.154","TCP","66","[TCP Dup ACK 4458#1] 52263  >  443 [ACK] Seq=15174 Ack=2512454 Win=2096384 Len=0 SLE=2513906 SRE=2516067"
"4460","0.000049400","12.855404700","192.168.1.2","185.199.110.154","TCP","54","52263  >  443 [ACK] Seq=15174 Ack=2516067 Win=2096896 Len=0"
"4461","0.002230300","12.857635000","185.199.110.154","192.168.1.2","TCP","1506","[TCP Previous segment not captured] 443  >  52263 [ACK] Seq=2516273 Ack=14924 Win=177664 Len=1452 [TCP PDU reassembled in 4469]"
"4462","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","1506","[TCP Previous segment not captured] 443  >  52263 [ACK] Seq=2522081 Ack=14924 Win=177664 Len=1452 [TCP PDU reassembled in 4469]"
"4463","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","1506","[TCP Out-Of-Order] 443  >  52263 [ACK] Seq=2520629 Ack=14924 Win=177664 Len=1452 [TCP PDU reassembled in 4469]"
"4464","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","1506","[TCP Previous segment not captured] 443  >  52263 [ACK] Seq=2524985 Ack=14924 Win=177664 Len=1452 [TCP PDU reassembled in 4469]"
"4465","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TLSv1.3","260","[TCP Out-Of-Order] , Application Data"
"4466","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","1506","[TCP Out-Of-Order] 443  >  52263 [ACK] Seq=2523533 Ack=14924 Win=177664 Len=1452 [TCP PDU reassembled in 4469]"
"4467","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","1506","[TCP Out-Of-Order] 443  >  52263 [ACK] Seq=2517725 Ack=14924 Win=177664 Len=1452 [TCP PDU reassembled in 4469]"
"4468","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","193","443  >  52263 [PSH, ACK] Seq=2526437 Ack=14924 Win=177664 Len=139 [TCP PDU reassembled in 4469]"
"4469","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TLSv1.3","1506","[TCP Out-Of-Order] , Application Data"
"4470","0.000000000","12.857635000","20.207.73.82","192.168.1.2","TCP","54","443  >  49670 [ACK] Seq=114658 Ack=5393 Win=87040 Len=0"
"4471","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","54","443  >  52263 [ACK] Seq=2526576 Ack=15174 Win=177664 Len=0"
"4472","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","54","443  >  52263 [ACK] Seq=2526576 Ack=15008 Win=177664 Len=0"
"4473","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","54","443  >  52263 [ACK] Seq=2526576 Ack=15092 Win=177664 Len=0"
"4474","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TLSv1.3","389","Application Data"
"4475","0.000000000","12.857635000","185.199.110.154","192.168.1.2","TCP","1506","443  >  52263 [ACK] Seq=2526911 Ack=15174 Win=177664 Len=1452 [TCP PDU reassembled in 4488]"
"4476","0.000112900","12.857747900","192.168.1.2","185.199.110.154","TCP","66","[TCP Dup ACK 4460#1] 52263  >  443 [ACK] Seq=15174 Ack=2516067 Win=2096896 Len=0 SLE=2516273 SRE=2517725"
"4477","0.000066800","12.857814700","192.168.1.2","185.199.110.154","TCP","74","[TCP Dup ACK 4460#2] 52263  >  443 [ACK] Seq=15174 Ack=2516067 Win=2096896 Len=0 SLE=2522081 SRE=2523533 SLE=2516273 SRE=2517725"
"4478","0.000047700","12.857862400","192.168.1.2","185.199.110.154","TCP","74","[TCP Dup ACK 4460#3] 52263  >  443 [ACK] Seq=15174 Ack=2516067 Win=2096896 Len=0 SLE=2520629 SRE=2523533 SLE=2516273 SRE=2517725"
"4479","0.000024000","12.857886400","192.168.1.2","185.199.110.154","TCP","82","[TCP Dup ACK 4460#4] 52263  >  443 [ACK] Seq=15174 Ack=2516067 Win=2096896 Len=0 SLE=2524985 SRE=2526437 SLE=2520629 SRE=2523533 SLE=2516273 SRE=2517725"
"4480","0.000061000","12.857947400","192.168.1.2","185.199.110.154","TCP","74","52263  >  443 [ACK] Seq=15174 Ack=2517725 Win=2096896 Len=0 SLE=2524985 SRE=2526437 SLE=2520629 SRE=2523533"
"4481","0.000038100","12.857985500","192.168.1.2","185.199.110.154","TCP","66","[TCP Dup ACK 4480#1] 52263  >  443 [ACK] Seq=15174 Ack=2517725 Win=2096896 Len=0 SLE=2520629 SRE=2526437"
"4482","0.000034300","12.858019800","192.168.1.2","185.199.110.154","TCP","66","52263  >  443 [ACK] Seq=15174 Ack=2519177 Win=2096896 Len=0 SLE=2520629 SRE=2526437"
"4483","0.000019600","12.858039400","192.168.1.2","185.199.110.154","TCP","66","[TCP Dup ACK 4482#1] 52263  >  443 [ACK] Seq=15174 Ack=2519177 Win=2096896 Len=0 SLE=2520629 SRE=2526576"
"4484","0.000042000","12.858081400","192.168.1.2","185.199.110.154","TCP","54","52263  >  443 [ACK] Seq=15174 Ack=2526576 Win=2096896 Len=0"
"4485","0.000093100","12.858174500","192.168.1.2","185.199.110.154","TCP","54","52263  >  443 [ACK] Seq=15174 Ack=2528363 Win=2096896 Len=0"
"4486","0.002294500","12.860469000","185.199.110.154","192.168.1.2","TCP","1506","443  >  52263 [ACK] Seq=2528363 Ack=15174 Win=177664 Len=1452 [TCP PDU reassembled in 4488]"
"4487","0.000000000","12.860469000","185.199.110.154","192.168.1.2","TCP","125","[TCP Previous segment not captured] 443  >  52263 [PSH, ACK] Seq=2531267 Ack=15174 Win=177664 Len=71 [TCP PDU reassembled in 4488]"
"4488","0.000000000","12.860469000","185.199.110.154","192.168.1.2","TLSv1.3","1506","[TCP Out-Of-Order] , Application Data"
"4489","0.000078700","12.860547700","192.168.1.2","185.199.110.154","TCP","66","52263  >  443 [ACK] Seq=15174 Ack=2529815 Win=2096896 Len=0 SLE=2531267 SRE=2531338"
"4490","0.000067600","12.860615300","192.168.1.2","185.199.110.154","TCP","54","52263  >  443 [ACK] Seq=15174 Ack=2531338 Win=2096896 Len=0"
"4491","0.012101900","12.872717200","192.168.1.2","185.199.110.133","TLSv1.3","124","Application Data"
"4492","0.000128000","12.872845200","192.168.1.2","185.199.110.133","TLSv1.3","124","Application Data"
"4493","0.000809900","12.873655100","192.168.1.2","185.199.110.133","TLSv1.3","124","Application Data"
"4494","0.000058300","12.873713400","192.168.1.2","185.199.110.133","TLSv1.3","124","Application Data"
"4495","0.000046700","12.873760100","192.168.1.2","185.199.110.133","TLSv1.3","124","Application Data"
"4496","0.001293000","12.875053100","192.168.1.2","185.199.110.133","TLSv1.3","125","Application Data"
"4497","0.000063600","12.875116700","192.168.1.2","185.199.110.133","TLSv1.3","125","Application Data"
"4498","0.000041300","12.875158000","192.168.1.2","185.199.110.133","TLSv1.3","125","Application Data"
"4499","0.000069600","12.875227600","192.168.1.2","185.199.110.133","TLSv1.3","125","Application Data"
"4500","0.038148800","12.913376400","185.199.110.133","192.168.1.2","TCP","54","443  >  52086 [ACK] Seq=6937 Ack=2638 Win=155136 Len=0"
"4501","0.000000000","12.913376400","185.199.110.133","192.168.1.2","TCP","54","443  >  52086 [ACK] Seq=6937 Ack=2708 Win=155136 Len=0"
"4502","0.000080900","12.913457300","185.199.110.133","192.168.1.2","TLSv1.3","283","Application Data"
"4503","0.000000000","12.913457300","185.199.110.133","192.168.1.2","TLSv1.3","1506","Application Data"
"4504","0.000059500","12.913516800","192.168.1.2","185.199.110.133","TCP","54","52086  >  443 [ACK] Seq=3202 Ack=8618 Win=65280 Len=0"
"4505","0.000473900","12.913990700","185.199.110.133","192.168.1.2","TLSv1.3","1506","Application Data"
"4506","0.000046700","12.914037400","192.168.1.2","185.199.110.133","TCP","54","52086  >  443 [ACK] Seq=3202 Ack=10070 Win=65280 Len=0"
"4507","0.000729000","12.914766400","192.168.1.2","185.199.110.133","TLSv1.3","90","Application Data"
"4508","0.000062000","12.914828400","192.168.1.2","185.199.110.133","TLSv1.3","90","Application Data"
"4509","0.000295600","12.915124000","185.199.110.133","192.168.1.2","TLSv1.3","1506","Application Data"
